week_end,geography,pathogen,demographics_type,demographics_values,percent_visits
4/13/2024,United States,Combined,Age Group,65+ years,1.3
4/13/2024,United States,Combined,Age Group,5-17 years,1.9
4/13/2024,United States,Combined,Age Group,0-4 years,3.1
4/13/2024,United States,Combined,Race/Ethnicity,Hispanic,1.6
4/13/2024,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",1.2
4/13/2024,United States,Combined,Race/Ethnicity,"White, NH",1.3
4/13/2024,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",1.8
4/13/2024,United States,Combined,Race/Ethnicity,"AI/AN, NH",1.7
4/13/2024,United States,Combined,Race/Ethnicity,"Black, NH",1.5
4/13/2024,United States,Influenza,Sex,Male,0.9
4/13/2024,United States,Influenza,Sex,Invalid,0
4/13/2024,United States,Influenza,Sex,Other,0
4/13/2024,United States,Influenza,Sex,Female,0.9
4/13/2024,United States,Influenza,Age Group,18-64 years,0.7
4/13/2024,United States,Influenza,Age Group,65+ years,0.5
4/13/2024,United States,Influenza,Age Group,5-17 years,1.7
4/13/2024,United States,Influenza,Age Group,0-4 years,1.9
4/13/2024,United States,Influenza,Race/Ethnicity,Hispanic,1.1
4/13/2024,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.8
4/13/2024,United States,Influenza,Race/Ethnicity,"White, NH",0.7
4/13/2024,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",1.2
4/13/2024,United States,Influenza,Race/Ethnicity,"AI/AN, NH",1.1
4/13/2024,United States,Influenza,Race/Ethnicity,"Black, NH",1
4/13/2024,United States,RSV,Sex,Male,0.1
4/13/2024,United States,RSV,Sex,Invalid,0
4/13/2024,United States,RSV,Sex,Other,0
4/13/2024,United States,RSV,Sex,Female,0.1
4/13/2024,United States,RSV,Age Group,18-64 years,0
4/13/2024,United States,RSV,Age Group,65+ years,0.1
4/13/2024,United States,RSV,Age Group,5-17 years,0
4/13/2024,United States,RSV,Age Group,0-4 years,0.5
4/13/2024,United States,RSV,Race/Ethnicity,Hispanic,0.1
4/13/2024,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0.1
4/13/2024,United States,RSV,Race/Ethnicity,"White, NH",0.1
4/13/2024,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0.1
4/13/2024,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.1
4/13/2024,United States,RSV,Race/Ethnicity,"Black, NH",0
2/18/2023,United States,COVID-19,Sex,Male,1.8
2/18/2023,United States,COVID-19,Sex,Invalid,0.1
2/18/2023,United States,COVID-19,Sex,Other,5.3
2/18/2023,United States,COVID-19,Sex,Female,1.9
2/18/2023,United States,COVID-19,Age Group,18-64 years,1.5
2/18/2023,United States,COVID-19,Age Group,65+ years,3
2/18/2023,United States,COVID-19,Age Group,5-17 years,0.9
2/18/2023,United States,COVID-19,Age Group,0-4 years,2.1
2/18/2023,United States,COVID-19,Race/Ethnicity,Hispanic,1.6
2/18/2023,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.5
2/18/2023,United States,COVID-19,Race/Ethnicity,"White, NH",2
2/18/2023,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",2.1
2/18/2023,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.1
2/18/2023,United States,COVID-19,Race/Ethnicity,"Black, NH",1.7
2/18/2023,United States,Combined,Sex,Male,2.2
2/18/2023,United States,Combined,Sex,Invalid,0.1
2/18/2023,United States,Combined,Sex,Other,5.3
2/18/2023,United States,Combined,Sex,Female,2.3
2/18/2023,United States,Combined,Age Group,18-64 years,1.8
2/18/2023,United States,Combined,Age Group,65+ years,3.2
2/18/2023,United States,Combined,Age Group,5-17 years,1.7
2/18/2023,United States,Combined,Age Group,0-4 years,3.6
2/18/2023,United States,Combined,Race/Ethnicity,Hispanic,2.2
2/18/2023,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",1.9
2/18/2023,United States,Combined,Race/Ethnicity,"White, NH",2.4
2/18/2023,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",2.6
2/18/2023,United States,Combined,Race/Ethnicity,"AI/AN, NH",2.8
2/18/2023,United States,Combined,Race/Ethnicity,"Black, NH",2.1
2/18/2023,United States,Influenza,Sex,Male,0.4
2/18/2023,United States,Influenza,Sex,Invalid,0
2/18/2023,United States,Influenza,Sex,Other,0
2/18/2023,United States,Influenza,Sex,Female,0.4
2/18/2023,United States,Influenza,Age Group,18-64 years,0.3
2/18/2023,United States,Influenza,Age Group,65+ years,0.2
2/18/2023,United States,Influenza,Age Group,5-17 years,0.8
2/18/2023,United States,Influenza,Age Group,0-4 years,0.8
2/18/2023,United States,Influenza,Race/Ethnicity,Hispanic,0.5
2/18/2023,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.3
2/18/2023,United States,Influenza,Race/Ethnicity,"White, NH",0.3
2/18/2023,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",0.4
2/18/2023,United States,Influenza,Race/Ethnicity,"AI/AN, NH",0.4
2/18/2023,United States,Influenza,Race/Ethnicity,"Black, NH",0.4
2/18/2023,United States,RSV,Sex,Male,0.1
2/18/2023,United States,RSV,Sex,Invalid,0
2/18/2023,United States,RSV,Sex,Other,0
2/18/2023,United States,RSV,Sex,Female,0.1
2/18/2023,United States,RSV,Age Group,18-64 years,0
2/18/2023,United States,RSV,Age Group,65+ years,0.1
2/18/2023,United States,RSV,Age Group,5-17 years,0
2/18/2023,United States,RSV,Age Group,0-4 years,0.8
2/18/2023,United States,RSV,Race/Ethnicity,Hispanic,0.1
2/18/2023,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0.1
2/18/2023,United States,RSV,Race/Ethnicity,"White, NH",0.1
2/18/2023,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0.1
2/18/2023,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.3
2/18/2023,United States,RSV,Race/Ethnicity,"Black, NH",0.1
12/7/2024,United States,COVID-19,Sex,Male,0.6
12/7/2024,United States,COVID-19,Sex,Invalid,0
12/7/2024,United States,COVID-19,Sex,Other,1.8
12/7/2024,United States,COVID-19,Sex,Female,0.7
12/7/2024,United States,COVID-19,Age Group,18-64 years,0.5
12/7/2024,United States,COVID-19,Age Group,65+ years,1.1
12/7/2024,United States,COVID-19,Age Group,5-17 years,0.3
12/7/2024,United States,COVID-19,Age Group,0-4 years,1
12/7/2024,United States,COVID-19,Race/Ethnicity,Hispanic,0.5
12/7/2024,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.5
12/7/2024,United States,COVID-19,Race/Ethnicity,"White, NH",0.8
12/7/2024,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.6
12/7/2024,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.8
12/7/2024,United States,COVID-19,Race/Ethnicity,"Black, NH",0.5
12/7/2024,United States,Combined,Sex,Male,2.4
12/7/2024,United States,Combined,Sex,Invalid,2.7
12/7/2024,United States,Combined,Sex,Other,1.8
12/7/2024,United States,Combined,Sex,Female,2.3
12/7/2024,United States,Combined,Age Group,18-64 years,1.5
12/7/2024,United States,Combined,Age Group,65+ years,1.8
12/7/2024,United States,Combined,Age Group,5-17 years,2.8
12/7/2024,United States,Combined,Age Group,0-4 years,9.6
12/7/2024,United States,Combined,Race/Ethnicity,Hispanic,3.2
12/7/2024,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",2.4
12/7/2024,United States,Combined,Race/Ethnicity,"White, NH",2
12/7/2024,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",2.6
12/7/2024,United States,Combined,Race/Ethnicity,"AI/AN, NH",2.8
12/7/2024,United States,Combined,Race/Ethnicity,"Black, NH",2.5
12/7/2024,United States,Influenza,Sex,Male,1.1
12/7/2024,United States,Influenza,Sex,Invalid,0
12/7/2024,United States,Influenza,Sex,Other,0
12/7/2024,United States,Influenza,Sex,Female,1.1
12/7/2024,United States,Influenza,Age Group,18-64 years,0.9
12/7/2024,United States,Influenza,Age Group,65+ years,0.6
12/7/2024,United States,Influenza,Age Group,5-17 years,2
12/7/2024,United States,Influenza,Age Group,0-4 years,2.3
12/7/2024,United States,Influenza,Race/Ethnicity,Hispanic,1.7
12/7/2024,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",1.2
12/7/2024,United States,Influenza,Race/Ethnicity,"White, NH",0.8
12/7/2024,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",1.5
12/7/2024,United States,Influenza,Race/Ethnicity,"AI/AN, NH",1.6
12/7/2024,United States,Influenza,Race/Ethnicity,"Black, NH",1.2
12/7/2024,United States,RSV,Sex,Male,0.7
12/7/2024,United States,RSV,Sex,Invalid,2.7
12/7/2024,United States,RSV,Sex,Other,0
12/7/2024,United States,RSV,Sex,Female,0.6
12/7/2024,United States,RSV,Age Group,18-64 years,0.1
12/7/2024,United States,RSV,Age Group,65+ years,0.1
12/7/2024,United States,RSV,Age Group,5-17 years,0.5
12/7/2024,United States,RSV,Age Group,0-4 years,6.5
12/7/2024,United States,RSV,Race/Ethnicity,Hispanic,1
12/7/2024,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0.8
12/7/2024,United States,RSV,Race/Ethnicity,"White, NH",0.5
12/7/2024,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0.6
12/7/2024,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.4
12/7/2024,United States,RSV,Race/Ethnicity,"Black, NH",0.8
12/10/2022,United States,COVID-19,Sex,Male,2.6
12/10/2022,United States,COVID-19,Sex,Invalid,0.1
12/10/2022,United States,COVID-19,Sex,Other,7.1
12/10/2022,United States,COVID-19,Sex,Female,2.8
12/10/2022,United States,COVID-19,Age Group,18-64 years,2.4
12/10/2022,United States,COVID-19,Age Group,65+ years,4.3
12/10/2022,United States,COVID-19,Age Group,5-17 years,1.2
12/10/2022,United States,COVID-19,Age Group,0-4 years,2.7
12/10/2022,United States,COVID-19,Race/Ethnicity,Hispanic,2.6
12/10/2022,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",2.5
12/10/2022,United States,COVID-19,Race/Ethnicity,"White, NH",2.9
12/10/2022,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",3.5
12/10/2022,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.7
12/10/2022,United States,COVID-19,Race/Ethnicity,"Black, NH",2.4
12/10/2022,United States,Combined,Sex,Male,9
12/10/2022,United States,Combined,Sex,Invalid,0.1
12/10/2022,United States,Combined,Sex,Other,7.1
12/10/2022,United States,Combined,Sex,Female,8.9
12/10/2022,United States,Combined,Age Group,18-64 years,6.5
12/10/2022,United States,Combined,Age Group,65+ years,7.6
12/10/2022,United States,Combined,Age Group,5-17 years,15.2
12/10/2022,United States,Combined,Age Group,0-4 years,18.8
12/10/2022,United States,Combined,Race/Ethnicity,Hispanic,11.2
12/10/2022,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",8.7
12/10/2022,United States,Combined,Race/Ethnicity,"White, NH",8.4
12/10/2022,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",11.1
12/10/2022,United States,Combined,Race/Ethnicity,"AI/AN, NH",11.6
12/10/2022,United States,Combined,Race/Ethnicity,"Black, NH",8.2
12/10/2022,United States,Influenza,Sex,Male,5.8
12/10/2022,United States,Influenza,Sex,Invalid,0
12/10/2022,United States,Influenza,Sex,Other,0
12/10/2022,United States,Influenza,Sex,Female,5.7
12/10/2022,United States,Influenza,Age Group,18-64 years,4.1
12/10/2022,United States,Influenza,Age Group,65+ years,3.1
12/10/2022,United States,Influenza,Age Group,5-17 years,13.8
12/10/2022,United States,Influenza,Age Group,0-4 years,11.5
12/10/2022,United States,Influenza,Race/Ethnicity,Hispanic,8
12/10/2022,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",5.7
12/10/2022,United States,Influenza,Race/Ethnicity,"White, NH",5
12/10/2022,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",7
12/10/2022,United States,Influenza,Race/Ethnicity,"AI/AN, NH",7.6
12/10/2022,United States,Influenza,Race/Ethnicity,"Black, NH",5.6
12/10/2022,United States,RSV,Sex,Male,0.7
12/10/2022,United States,RSV,Sex,Invalid,0
12/10/2022,United States,RSV,Sex,Other,0
12/10/2022,United States,RSV,Sex,Female,0.6
12/10/2022,United States,RSV,Age Group,18-64 years,0.1
12/10/2022,United States,RSV,Age Group,65+ years,0.4
12/10/2022,United States,RSV,Age Group,5-17 years,0.4
12/10/2022,United States,RSV,Age Group,0-4 years,5.1
12/10/2022,United States,RSV,Race/Ethnicity,Hispanic,0.9
12/10/2022,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0.7
12/10/2022,United States,RSV,Race/Ethnicity,"White, NH",0.7
12/10/2022,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0.9
12/10/2022,United States,RSV,Race/Ethnicity,"AI/AN, NH",1.5
12/10/2022,United States,RSV,Race/Ethnicity,"Black, NH",0.3
7/22/2023,United States,COVID-19,Sex,Male,0.8
7/22/2023,United States,COVID-19,Sex,Invalid,0.1
7/22/2023,United States,COVID-19,Sex,Other,0
7/22/2023,United States,COVID-19,Sex,Female,0.9
7/22/2023,United States,COVID-19,Age Group,18-64 years,0.7
7/22/2023,United States,COVID-19,Age Group,65+ years,1.2
7/22/2023,United States,COVID-19,Age Group,5-17 years,0.4
7/22/2023,United States,COVID-19,Age Group,0-4 years,1.5
7/22/2023,United States,COVID-19,Race/Ethnicity,Hispanic,1
7/22/2023,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.7
7/22/2023,United States,COVID-19,Race/Ethnicity,"White, NH",0.7
7/22/2023,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.2
7/22/2023,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.7
7/22/2023,United States,COVID-19,Race/Ethnicity,"Black, NH",0.9
7/22/2023,United States,Combined,Sex,Male,0.9
7/22/2023,United States,Combined,Sex,Invalid,0.1
7/22/2023,United States,Combined,Sex,Other,0
7/22/2023,United States,Combined,Sex,Female,1
7/22/2023,United States,Combined,Age Group,18-64 years,0.8
7/22/2023,United States,Combined,Age Group,65+ years,1.3
7/22/2023,United States,Combined,Age Group,5-17 years,0.7
7/22/2023,United States,Combined,Age Group,0-4 years,2.2
7/22/2023,United States,Combined,Race/Ethnicity,Hispanic,1.3
7/22/2023,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",0.9
7/22/2023,United States,Combined,Race/Ethnicity,"White, NH",0.9
7/22/2023,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",1.5
7/22/2023,United States,Combined,Race/Ethnicity,"AI/AN, NH",0.9
7/22/2023,United States,Combined,Race/Ethnicity,"Black, NH",1.2
7/22/2023,United States,Influenza,Sex,Male,0.2
7/22/2023,United States,Influenza,Sex,Invalid,0
7/22/2023,United States,Influenza,Sex,Other,0
7/22/2023,United States,Influenza,Sex,Female,0.2
7/22/2023,United States,Influenza,Age Group,18-64 years,0.1
7/22/2023,United States,Influenza,Age Group,65+ years,0.1
7/22/2023,United States,Influenza,Age Group,5-17 years,0.3
7/22/2023,United States,Influenza,Age Group,0-4 years,0.5
7/22/2023,United States,Influenza,Race/Ethnicity,Hispanic,0.3
7/22/2023,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.1
7/22/2023,United States,Influenza,Race/Ethnicity,"White, NH",0.1
7/22/2023,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",0.3
7/22/2023,United States,Influenza,Race/Ethnicity,"AI/AN, NH",0.1
7/22/2023,United States,Influenza,Race/Ethnicity,"Black, NH",0.2
7/22/2023,United States,RSV,Sex,Male,0
7/22/2023,United States,RSV,Sex,Invalid,0
7/22/2023,United States,RSV,Sex,Other,0
7/22/2023,United States,RSV,Sex,Female,0
7/22/2023,United States,RSV,Age Group,18-64 years,0
7/22/2023,United States,RSV,Age Group,65+ years,0
7/22/2023,United States,RSV,Age Group,5-17 years,0
7/22/2023,United States,RSV,Age Group,0-4 years,0.3
7/22/2023,United States,RSV,Race/Ethnicity,Hispanic,0
7/22/2023,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0
7/22/2023,United States,RSV,Race/Ethnicity,"White, NH",0
7/22/2023,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0
7/22/2023,United States,RSV,Race/Ethnicity,"AI/AN, NH",0
7/22/2023,United States,RSV,Race/Ethnicity,"Black, NH",0
3/25/2023,United States,COVID-19,Sex,Male,1.1
3/25/2023,United States,COVID-19,Sex,Invalid,0.1
3/25/2023,United States,COVID-19,Sex,Other,0
3/25/2023,United States,COVID-19,Sex,Female,1.2
3/25/2023,United States,COVID-19,Age Group,18-64 years,0.9
3/25/2023,United States,COVID-19,Age Group,65+ years,2
3/25/2023,United States,COVID-19,Age Group,5-17 years,0.5
3/25/2023,United States,COVID-19,Age Group,0-4 years,1.4
3/25/2023,United States,COVID-19,Race/Ethnicity,Hispanic,1
3/25/2023,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.9
3/25/2023,United States,COVID-19,Race/Ethnicity,"White, NH",1.3
3/25/2023,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.6
3/25/2023,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",1.6
3/25/2023,United States,COVID-19,Race/Ethnicity,"Black, NH",0.9
3/25/2023,United States,Combined,Sex,Male,1.4
3/25/2023,United States,Combined,Sex,Invalid,0.1
3/25/2023,United States,Combined,Sex,Other,0
3/25/2023,United States,Combined,Sex,Female,1.5
3/25/2023,United States,Combined,Age Group,18-64 years,1.2
3/25/2023,United States,Combined,Age Group,65+ years,2.2
3/25/2023,United States,Combined,Age Group,5-17 years,1.1
3/25/2023,United States,Combined,Age Group,0-4 years,2.4
3/25/2023,United States,Combined,Race/Ethnicity,Hispanic,1.5
3/25/2023,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",1.3
3/25/2023,United States,Combined,Race/Ethnicity,"White, NH",1.6
3/25/2023,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",2
3/25/2023,United States,Combined,Race/Ethnicity,"AI/AN, NH",2
3/25/2023,United States,Combined,Race/Ethnicity,"Black, NH",1.3
3/25/2023,United States,Influenza,Sex,Male,0.3
3/25/2023,United States,Influenza,Sex,Invalid,0
3/25/2023,United States,Influenza,Sex,Other,0
3/25/2023,United States,Influenza,Sex,Female,0.3
3/25/2023,United States,Influenza,Age Group,18-64 years,0.2
3/25/2023,United States,Influenza,Age Group,65+ years,0.1
3/25/2023,United States,Influenza,Age Group,5-17 years,0.6
3/25/2023,United States,Influenza,Age Group,0-4 years,0.6
3/25/2023,United States,Influenza,Race/Ethnicity,Hispanic,0.4
3/25/2023,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.3
3/25/2023,United States,Influenza,Race/Ethnicity,"White, NH",0.2
3/25/2023,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",0.4
3/25/2023,United States,Influenza,Race/Ethnicity,"AI/AN, NH",0.3
3/25/2023,United States,Influenza,Race/Ethnicity,"Black, NH",0.4
3/25/2023,United States,RSV,Sex,Male,0.1
3/25/2023,United States,RSV,Sex,Invalid,0
3/25/2023,United States,RSV,Sex,Other,0
3/25/2023,United States,RSV,Sex,Female,0
3/25/2023,United States,RSV,Age Group,18-64 years,0
3/25/2023,United States,RSV,Age Group,65+ years,0
3/25/2023,United States,RSV,Age Group,5-17 years,0
3/25/2023,United States,RSV,Age Group,0-4 years,0.4
3/25/2023,United States,RSV,Race/Ethnicity,Hispanic,0.1
3/25/2023,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0
3/25/2023,United States,RSV,Race/Ethnicity,"White, NH",0
3/25/2023,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0.1
3/25/2023,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.1
3/25/2023,United States,RSV,Race/Ethnicity,"Black, NH",0
2/17/2024,United States,COVID-19,Sex,Male,1.7
2/17/2024,United States,COVID-19,Sex,Invalid,0.2
2/17/2024,United States,COVID-19,Sex,Other,0
2/17/2024,United States,COVID-19,Sex,Female,1.9
2/17/2024,United States,COVID-19,Age Group,18-64 years,1.4
2/17/2024,United States,COVID-19,Age Group,65+ years,2.5
2/17/2024,United States,COVID-19,Age Group,5-17 years,1.2
2/17/2024,United States,COVID-19,Age Group,0-4 years,2.9
2/17/2024,United States,COVID-19,Race/Ethnicity,Hispanic,1.7
2/17/2024,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.4
2/17/2024,United States,COVID-19,Race/Ethnicity,"White, NH",1.8
2/17/2024,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.7
2/17/2024,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",1.7
2/17/2024,United States,COVID-19,Race/Ethnicity,"Black, NH",2
2/17/2024,United States,Combined,Sex,Male,5
2/17/2024,United States,Combined,Sex,Invalid,0.2
2/17/2024,United States,Combined,Sex,Other,0
2/17/2024,United States,Combined,Sex,Female,5
2/17/2024,United States,Combined,Age Group,18-64 years,3.8
2/17/2024,United States,Combined,Age Group,65+ years,4
2/17/2024,United States,Combined,Age Group,5-17 years,9.2
2/17/2024,United States,Combined,Age Group,0-4 years,11
2/17/2024,United States,Combined,Race/Ethnicity,Hispanic,5.7
2/17/2024,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",4.5
2/17/2024,United States,Combined,Race/Ethnicity,"White, NH",4.7
2/17/2024,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",4.9
2/17/2024,United States,Combined,Race/Ethnicity,"AI/AN, NH",5.3
2/17/2024,United States,Combined,Race/Ethnicity,"Black, NH",5.5
2/17/2024,United States,Influenza,Sex,Male,3.1
2/17/2024,United States,Influenza,Sex,Invalid,0.1
2/17/2024,United States,Influenza,Sex,Other,0
2/17/2024,United States,Influenza,Sex,Female,3
2/17/2024,United States,Influenza,Age Group,18-64 years,2.4
2/17/2024,United States,Influenza,Age Group,65+ years,1.3
2/17/2024,United States,Influenza,Age Group,5-17 years,8
2/17/2024,United States,Influenza,Age Group,0-4 years,6.3
2/17/2024,United States,Influenza,Race/Ethnicity,Hispanic,3.8
2/17/2024,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",2.9
2/17/2024,United States,Influenza,Race/Ethnicity,"White, NH",2.7
2/17/2024,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",3
2/17/2024,United States,Influenza,Race/Ethnicity,"AI/AN, NH",3.1
2/17/2024,United States,Influenza,Race/Ethnicity,"Black, NH",3.5
2/17/2024,United States,RSV,Sex,Male,0.3
2/17/2024,United States,RSV,Sex,Invalid,0
2/17/2024,United States,RSV,Sex,Other,0
2/17/2024,United States,RSV,Sex,Female,0.2
2/17/2024,United States,RSV,Age Group,18-64 years,0.1
2/17/2024,United States,RSV,Age Group,65+ years,0.2
2/17/2024,United States,RSV,Age Group,5-17 years,0.2
2/17/2024,United States,RSV,Age Group,0-4 years,2.1
2/17/2024,United States,RSV,Race/Ethnicity,Hispanic,0.3
2/17/2024,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0.3
2/17/2024,United States,RSV,Race/Ethnicity,"White, NH",0.3
2/17/2024,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0.3
2/17/2024,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.6
2/17/2024,United States,RSV,Race/Ethnicity,"Black, NH",0.1
11/30/2024,United States,COVID-19,Sex,Male,0.5
11/30/2024,United States,COVID-19,Sex,Invalid,2.8
11/30/2024,United States,COVID-19,Sex,Other,0
11/30/2024,United States,COVID-19,Sex,Female,0.6
11/30/2024,United States,COVID-19,Age Group,18-64 years,0.4
11/30/2024,United States,COVID-19,Age Group,65+ years,1
11/30/2024,United States,COVID-19,Age Group,5-17 years,0.3
11/30/2024,United States,COVID-19,Age Group,0-4 years,0.8
11/30/2024,United States,COVID-19,Race/Ethnicity,Hispanic,0.5
11/30/2024,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.4
11/30/2024,United States,COVID-19,Race/Ethnicity,"White, NH",0.7
11/30/2024,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.5
11/30/2024,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.9
11/30/2024,United States,COVID-19,Race/Ethnicity,"Black, NH",0.4
11/30/2024,United States,Combined,Sex,Male,2.1
11/30/2024,United States,Combined,Sex,Invalid,2.8
11/30/2024,United States,Combined,Sex,Other,2
11/30/2024,United States,Combined,Sex,Female,2
11/30/2024,United States,Combined,Age Group,18-64 years,1.2
11/30/2024,United States,Combined,Age Group,65+ years,1.5
11/30/2024,United States,Combined,Age Group,5-17 years,3.1
11/30/2024,United States,Combined,Age Group,0-4 years,8.5
11/30/2024,United States,Combined,Race/Ethnicity,Hispanic,3
11/30/2024,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",2.1
11/30/2024,United States,Combined,Race/Ethnicity,"White, NH",1.7
11/30/2024,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",2.1
11/30/2024,United States,Combined,Race/Ethnicity,"AI/AN, NH",2.7
11/30/2024,United States,Combined,Race/Ethnicity,"Black, NH",2.2
11/30/2024,United States,Influenza,Sex,Male,0.9
11/30/2024,United States,Influenza,Sex,Invalid,0
11/30/2024,United States,Influenza,Sex,Other,2
11/30/2024,United States,Influenza,Sex,Female,0.9
11/30/2024,United States,Influenza,Age Group,18-64 years,0.7
11/30/2024,United States,Influenza,Age Group,65+ years,0.4
11/30/2024,United States,Influenza,Age Group,5-17 years,2.2
11/30/2024,United States,Influenza,Age Group,0-4 years,2
11/30/2024,United States,Influenza,Race/Ethnicity,Hispanic,1.6
11/30/2024,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.9
11/30/2024,United States,Influenza,Race/Ethnicity,"White, NH",0.6
11/30/2024,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",1
11/30/2024,United States,Influenza,Race/Ethnicity,"AI/AN, NH",1.5
11/30/2024,United States,Influenza,Race/Ethnicity,"Black, NH",1
11/30/2024,United States,RSV,Sex,Male,0.7
11/30/2024,United States,RSV,Sex,Invalid,0
11/30/2024,United States,RSV,Sex,Other,0
11/30/2024,United States,RSV,Sex,Female,0.5
11/30/2024,United States,RSV,Age Group,18-64 years,0.1
11/30/2024,United States,RSV,Age Group,65+ years,0.1
11/30/2024,United States,RSV,Age Group,5-17 years,0.6
11/30/2024,United States,RSV,Age Group,0-4 years,5.8
11/30/2024,United States,RSV,Race/Ethnicity,Hispanic,1
11/30/2024,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0.7
11/30/2024,United States,RSV,Race/Ethnicity,"White, NH",0.4
11/30/2024,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0.6
11/30/2024,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.4
11/30/2024,United States,RSV,Race/Ethnicity,"Black, NH",0.8
9/7/2024,United States,COVID-19,Sex,Male,1.9
9/7/2024,United States,COVID-19,Sex,Invalid,0
9/7/2024,United States,COVID-19,Sex,Other,1.9
9/7/2024,United States,COVID-19,Sex,Female,2.3
9/7/2024,United States,COVID-19,Age Group,18-64 years,1.7
9/7/2024,United States,COVID-19,Age Group,65+ years,3
9/7/2024,United States,COVID-19,Age Group,5-17 years,1.6
9/7/2024,United States,COVID-19,Age Group,0-4 years,3.7
9/7/2024,United States,COVID-19,Race/Ethnicity,Hispanic,1.9
9/7/2024,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.8
