"Notes"	"States"	"States Code"	"Single-Year Ages"	"Single-Year Ages Code"	Population
	"Connecticut"	"09"	"40 years"	"40"	46765
	"Connecticut"	"09"	"41 years"	"41"	46640
	"Connecticut"	"09"	"42 years"	"42"	45640
	"Connecticut"	"09"	"43 years"	"43"	45779
	"Connecticut"	"09"	"44 years"	"44"	44085
	"Connecticut"	"09"	"45 years"	"45"	43456
	"Connecticut"	"09"	"46 years"	"46"	42801
	"Connecticut"	"09"	"47 years"	"47"	41500
	"Connecticut"	"09"	"48 years"	"48"	41712
	"Connecticut"	"09"	"49 years"	"49"	41076
	"Connecticut"	"09"	"50 years"	"50"	42132
	"Connecticut"	"09"	"51 years"	"51"	45005
	"Connecticut"	"09"	"52 years"	"52"	48836
	"Connecticut"	"09"	"53 years"	"53"	49217
	"Connecticut"	"09"	"54 years"	"54"	48339
	"Connecticut"	"09"	"55 years"	"55"	48063
	"Connecticut"	"09"	"56 years"	"56"	49145
	"Connecticut"	"09"	"57 years"	"57"	50219
	"Connecticut"	"09"	"58 years"	"58"	52191
	"Connecticut"	"09"	"59 years"	"59"	52835
	"Connecticut"	"09"	"60 years"	"60"	51968
	"Connecticut"	"09"	"61 years"	"61"	51726
	"Connecticut"	"09"	"62 years"	"62"	51492
	"Connecticut"	"09"	"63 years"	"63"	50254
	"Connecticut"	"09"	"64 years"	"64"	48948
	"Connecticut"	"09"	"65 years"	"65"	48361
	"Connecticut"	"09"	"66 years"	"66"	46736
	"Connecticut"	"09"	"67 years"	"67"	43931
	"Connecticut"	"09"	"68 years"	"68"	42455
	"Connecticut"	"09"	"69 years"	"69"	40452
	"Connecticut"	"09"	"70 years"	"70"	38417
	"Connecticut"	"09"	"71 years"	"71"	36477
	"Connecticut"	"09"	"72 years"	"72"	34023
	"Connecticut"	"09"	"73 years"	"73"	32363
	"Connecticut"	"09"	"74 years"	"74"	31500
	"Connecticut"	"09"	"75 years"	"75"	30996
	"Connecticut"	"09"	"76 years"	"76"	33242
	"Connecticut"	"09"	"77 years"	"77"	23690
	"Connecticut"	"09"	"78 years"	"78"	22366
	"Connecticut"	"09"	"79 years"	"79"	21835
	"Connecticut"	"09"	"80 years"	"80"	22320
	"Connecticut"	"09"	"81 years"	"81"	18587
	"Connecticut"	"09"	"82 years"	"82"	15825
	"Connecticut"	"09"	"83 years"	"83"	14121
	"Connecticut"	"09"	"84 years"	"84"	12875
	"Connecticut"	"09"	"85+ years"	"85+"	80202
"Total"	"Connecticut"	"09"			3617176
	"Delaware"	"10"	"< 1 year"	"0"	10745
	"Delaware"	"10"	"1 year"	"1"	11150
	"Delaware"	"10"	"2 years"	"2"	10514
	"Delaware"	"10"	"3 years"	"3"	10987
	"Delaware"	"10"	"4 years"	"4"	11075
	"Delaware"	"10"	"5 years"	"5"	11349
	"Delaware"	"10"	"6 years"	"6"	11463
	"Delaware"	"10"	"7 years"	"7"	11755
	"Delaware"	"10"	"8 years"	"8"	11828
	"Delaware"	"10"	"9 years"	"9"	11797
	"Delaware"	"10"	"10 years"	"10"	11753
	"Delaware"	"10"	"11 years"	"11"	11984
	"Delaware"	"10"	"12 years"	"12"	12173
	"Delaware"	"10"	"13 years"	"13"	12316
	"Delaware"	"10"	"14 years"	"14"	12474
	"Delaware"	"10"	"15 years"	"15"	12985
	"Delaware"	"10"	"16 years"	"16"	12817
	"Delaware"	"10"	"17 years"	"17"	12773
	"Delaware"	"10"	"18 years"	"18"	13487
	"Delaware"	"10"	"19 years"	"19"	13477
	"Delaware"	"10"	"20 years"	"20"	12608
	"Delaware"	"10"	"21 years"	"21"	11861
	"Delaware"	"10"	"22 years"	"22"	11931
	"Delaware"	"10"	"23 years"	"23"	11923
	"Delaware"	"10"	"24 years"	"24"	11828
	"Delaware"	"10"	"25 years"	"25"	11774
	"Delaware"	"10"	"26 years"	"26"	11630
	"Delaware"	"10"	"27 years"	"27"	11662
	"Delaware"	"10"	"28 years"	"28"	12130
	"Delaware"	"10"	"29 years"	"29"	12507
	"Delaware"	"10"	"30 years"	"30"	12849
	"Delaware"	"10"	"31 years"	"31"	13327
	"Delaware"	"10"	"32 years"	"32"	13860
	"Delaware"	"10"	"33 years"	"33"	14085
	"Delaware"	"10"	"34 years"	"34"	13796
	"Delaware"	"10"	"35 years"	"35"	13445
	"Delaware"	"10"	"36 years"	"36"	13061
	"Delaware"	"10"	"37 years"	"37"	12947
	"Delaware"	"10"	"38 years"	"38"	12808
	"Delaware"	"10"	"39 years"	"39"	12533
	"Delaware"	"10"	"40 years"	"40"	12710
	"Delaware"	"10"	"41 years"	"41"	12563
	"Delaware"	"10"	"42 years"	"42"	12359
	"Delaware"	"10"	"43 years"	"43"	12266
	"Delaware"	"10"	"44 years"	"44"	12025
	"Delaware"	"10"	"45 years"	"45"	11524
	"Delaware"	"10"	"46 years"	"46"	11124
	"Delaware"	"10"	"47 years"	"47"	10590
	"Delaware"	"10"	"48 years"	"48"	10861
	"Delaware"	"10"	"49 years"	"49"	10749
	"Delaware"	"10"	"50 years"	"50"	11097
	"Delaware"	"10"	"51 years"	"51"	11796
	"Delaware"	"10"	"52 years"	"52"	12728
	"Delaware"	"10"	"53 years"	"53"	12943
	"Delaware"	"10"	"54 years"	"54"	12391
	"Delaware"	"10"	"55 years"	"55"	12520
	"Delaware"	"10"	"56 years"	"56"	12892
	"Delaware"	"10"	"57 years"	"57"	13566
	"Delaware"	"10"	"58 years"	"58"	14216
	"Delaware"	"10"	"59 years"	"59"	14684
	"Delaware"	"10"	"60 years"	"60"	14845
	"Delaware"	"10"	"61 years"	"61"	15152
	"Delaware"	"10"	"62 years"	"62"	15233
	"Delaware"	"10"	"63 years"	"63"	15113
	"Delaware"	"10"	"64 years"	"64"	15158
	"Delaware"	"10"	"65 years"	"65"	15372
	"Delaware"	"10"	"66 years"	"66"	15246
	"Delaware"	"10"	"67 years"	"67"	14578
	"Delaware"	"10"	"68 years"	"68"	14196
	"Delaware"	"10"	"69 years"	"69"	13682
	"Delaware"	"10"	"70 years"	"70"	13110
	"Delaware"	"10"	"71 years"	"71"	12497
	"Delaware"	"10"	"72 years"	"72"	11716
	"Delaware"	"10"	"73 years"	"73"	11073
	"Delaware"	"10"	"74 years"	"74"	10693
	"Delaware"	"10"	"75 years"	"75"	10439
	"Delaware"	"10"	"76 years"	"76"	11024
	"Delaware"	"10"	"77 years"	"77"	7474
	"Delaware"	"10"	"78 years"	"78"	7051
	"Delaware"	"10"	"79 years"	"79"	6783
	"Delaware"	"10"	"80 years"	"80"	6777
	"Delaware"	"10"	"81 years"	"81"	5616
	"Delaware"	"10"	"82 years"	"82"	4717
	"Delaware"	"10"	"83 years"	"83"	4114
	"Delaware"	"10"	"84 years"	"84"	3652
	"Delaware"	"10"	"85+ years"	"85+"	19508
"Total"	"Delaware"	"10"			1031890
	"District of Columbia"	"11"	"< 1 year"	"0"	7791
	"District of Columbia"	"11"	"1 year"	"1"	8039
	"District of Columbia"	"11"	"2 years"	"2"	7846
	"District of Columbia"	"11"	"3 years"	"3"	7449
	"District of Columbia"	"11"	"4 years"	"4"	7461
	"District of Columbia"	"11"	"5 years"	"5"	7682
	"District of Columbia"	"11"	"6 years"	"6"	7580
	"District of Columbia"	"11"	"7 years"	"7"	7545
	"District of Columbia"	"11"	"8 years"	"8"	7570
	"District of Columbia"	"11"	"9 years"	"9"	7116
	"District of Columbia"	"11"	"10 years"	"10"	7107
	"District of Columbia"	"11"	"11 years"	"11"	6958
	"District of Columbia"	"11"	"12 years"	"12"	6734
	"District of Columbia"	"11"	"13 years"	"13"	6169
	"District of Columbia"	"11"	"14 years"	"14"	6007
	"District of Columbia"	"11"	"15 years"	"15"	6008
	"District of Columbia"	"11"	"16 years"	"16"	5849
	"District of Columbia"	"11"	"17 years"	"17"	5681
	"District of Columbia"	"11"	"18 years"	"18"	8702
	"District of Columbia"	"11"	"19 years"	"19"	11492
	"District of Columbia"	"11"	"20 years"	"20"	9793
	"District of Columbia"	"11"	"21 years"	"21"	8408
	"District of Columbia"	"11"	"22 years"	"22"	7820
	"District of Columbia"	"11"	"23 years"	"23"	9676
	"District of Columbia"	"11"	"24 years"	"24"	11964
	"District of Columbia"	"11"	"25 years"	"25"	13358
	"District of Columbia"	"11"	"26 years"	"26"	14219
	"District of Columbia"	"11"	"27 years"	"27"	14246
	"District of Columbia"	"11"	"28 years"	"28"	14775
	"District of Columbia"	"11"	"29 years"	"29"	15023
	"District of Columbia"	"11"	"30 years"	"30"	15048
	"District of Columbia"	"11"	"31 years"	"31"	15205
	"District of Columbia"	"11"	"32 years"	"32"	15273
	"District of Columbia"	"11"	"33 years"	"33"	15201
	"District of Columbia"	"11"	"34 years"	"34"	14369
	"District of Columbia"	"11"	"35 years"	"35"	13852
	"District of Columbia"	"11"	"36 years"	"36"	12999
	"District of Columbia"	"11"	"37 years"	"37"	12675
	"District of Columbia"	"11"	"38 years"	"38"	12134
	"District of Columbia"	"11"	"39 years"	"39"	11395
	"District of Columbia"	"11"	"40 years"	"40"	11190
	"District of Columbia"	"11"	"41 years"	"41"	10751
	"District of Columbia"	"11"	"42 years"	"42"	10005
	"District of Columbia"	"11"	"43 years"	"43"	9623
	"District of Columbia"	"11"	"44 years"	"44"	9087
	"District of Columbia"	"11"	"45 years"	"45"	8440
	"District of Columbia"	"11"	"46 years"	"46"	7912
	"District of Columbia"	"11"	"47 years"	"47"	7236
	"District of Columbia"	"11"	"48 years"	"48"	7006
	"District of Columbia"	"11"	"49 years"	"49"	6714
	"District of Columbia"	"11"	"50 years"	"50"	6790
	"District of Columbia"	"11"	"51 years"	"51"	7053
	"District of Columbia"	"11"	"52 years"	"52"	7262
	"District of Columbia"	"11"	"53 years"	"53"	6925
	"District of Columbia"	"11"	"54 years"	"54"	6652
	"District of Columbia"	"11"	"55 years"	"55"	6435
	"District of Columbia"	"11"	"56 years"	"56"	6302
	"District of Columbia"	"11"	"57 years"	"57"	6299
	"District of Columbia"	"11"	"58 years"	"58"	6512
	"District of Columbia"	"11"	"59 years"	"59"	6598
	"District of Columbia"	"11"	"60 years"	"60"	6527
	"District of Columbia"	"11"	"61 years"	"61"	6438
	"District of Columbia"	"11"	"62 years"	"62"	6196
	"District of Columbia"	"11"	"63 years"	"63"	6215
	"District of Columbia"	"11"	"64 years"	"64"	5853
	"District of Columbia"	"11"	"65 years"	"65"	5791
	"District of Columbia"	"11"	"66 years"	"66"	5601
	"District of Columbia"	"11"	"67 years"	"67"	5592
	"District of Columbia"	"11"	"68 years"	"68"	5499
	"District of Columbia"	"11"	"69 years"	"69"	5312
	"District of Columbia"	"11"	"70 years"	"70"	4958
	"District of Columbia"	"11"	"71 years"	"71"	4696
	"District of Columbia"	"11"	"72 years"	"72"	4598
	"District of Columbia"	"11"	"73 years"	"73"	4447
	"District of Columbia"	"11"	"74 years"	"74"	4201
	"District of Columbia"	"11"	"75 years"	"75"	4063
	"District of Columbia"	"11"	"76 years"	"76"	3982
	"District of Columbia"	"11"	"77 years"	"77"	2957
	"District of Columbia"	"11"	"78 years"	"78"	2886
	"District of Columbia"	"11"	"79 years"	"79"	2784
	"District of Columbia"	"11"	"80 years"	"80"	2639
	"District of Columbia"	"11"	"81 years"	"81"	2290
	"District of Columbia"	"11"	"82 years"	"82"	2043
	"District of Columbia"	"11"	"83 years"	"83"	1883
	"District of Columbia"	"11"	"84 years"	"84"	1724
	"District of Columbia"	"11"	"85+ years"	"85+"	10786
"Total"	"District of Columbia"	"11"			678972
	"Florida"	"12"	"< 1 year"	"0"	224670
	"Florida"	"12"	"1 year"	"1"	226359
	"Florida"	"12"	"2 years"	"2"	217030
	"Florida"	"12"	"3 years"	"3"	225412
	"Florida"	"12"	"4 years"	"4"	231285
	"Florida"	"12"	"5 years"	"5"	235655
	"Florida"	"12"	"6 years"	"6"	239240
	"Florida"	"12"	"7 years"	"7"	245711
	"Florida"	"12"	"8 years"	"8"	246626
	"Florida"	"12"	"9 years"	"9"	246024
	"Florida"	"12"	"10 years"	"10"	244340
	"Florida"	"12"	"11 years"	"11"	245657
	"Florida"	"12"	"12 years"	"12"	247422
	"Florida"	"12"	"13 years"	"13"	250609
	"Florida"	"12"	"14 years"	"14"	255978
	"Florida"	"12"	"15 years"	"15"	266786
	"Florida"	"12"	"16 years"	"16"	267966
	"Florida"	"12"	"17 years"	"17"	264073
	"Florida"	"12"	"18 years"	"18"	257747
	"Florida"	"12"	"19 years"	"19"	255282
	"Florida"	"12"	"20 years"	"20"	252080
	"Florida"	"12"	"21 years"	"21"	255588
	"Florida"	"12"	"22 years"	"22"	262884
	"Florida"	"12"	"23 years"	"23"	267053
	"Florida"	"12"	"24 years"	"24"	264391
	"Florida"	"12"	"25 years"	"25"	265853
	"Florida"	"12"	"26 years"	"26"	266454
	"Florida"	"12"	"27 years"	"27"	266303
	"Florida"	"12"	"28 years"	"28"	271502
	"Florida"	"12"	"29 years"	"29"	278052
	"Florida"	"12"	"30 years"	"30"	283235
	"Florida"	"12"	"31 years"	"31"	292686
	"Florida"	"12"	"32 years"	"32"	302457
	"Florida"	"12"	"33 years"	"33"	307410
	"Florida"	"12"	"34 years"	"34"	300586
	"Florida"	"12"	"35 years"	"35"	295476
	"Florida"	"12"	"36 years"	"36"	291327
	"Florida"	"12"	"37 years"	"37"	291177
	"Florida"	"12"	"38 years"	"38"	290783
	"Florida"	"12"	"39 years"	"39"	286291
	"Florida"	"12"	"40 years"	"40"	289777
	"Florida"	"12"	"41 years"	"41"	288631
	"Florida"	"12"	"42 years"	"42"	284412
	"Florida"	"12"	"43 years"	"43"	283305
	"Florida"	"12"	"44 years"	"44"	273370
	"Florida"	"12"	"45 years"	"45"	270800
	"Florida"	"12"	"46 years"	"46"	269708
	"Florida"	"12"	"47 years"	"47"	262818
	"Florida"	"12"	"48 years"	"48"	265662
	"Florida"	"12"	"49 years"	"49"	263224
	"Florida"	"12"	"50 years"	"50"	270349
	"Florida"	"12"	"51 years"	"51"	283588
	"Florida"	"12"	"52 years"	"52"	299283
	"Florida"	"12"	"53 years"	"53"	293729
	"Florida"	"12"	"54 years"	"54"	282620
	"Florida"	"12"	"55 years"	"55"	279632
	"Florida"	"12"	"56 years"	"56"	284447
	"Florida"	"12"	"57 years"	"57"	292486
	"Florida"	"12"	"58 years"	"58"	306284
	"Florida"	"12"	"59 years"	"59"	314257
	"Florida"	"12"	"60 years"	"60"	313748
	"Florida"	"12"	"61 years"	"61"	314589
	"Florida"	"12"	"62 years"	"62"	313202
	"Florida"	"12"	"63 years"	"63"	306874
	"Florida"	"12"	"64 years"	"64"	301779
	"Florida"	"12"	"65 years"	"65"	299701
	"Florida"	"12"	"66 years"	"66"	296034
	"Florida"	"12"	"67 years"	"67"	285070
	"Florida"	"12"	"68 years"	"68"	279490
	"Florida"	"12"	"69 years"	"69"	271987
	"Florida"	"12"	"70 years"	"70"	262941
	"Florida"	"12"	"71 years"	"71"	256555
	"Florida"	"12"	"72 years"	"72"	247767
	"Florida"	"12"	"73 years"	"73"	238544
	"Florida"	"12"	"74 years"	"74"	235174
	"Florida"	"12"	"75 years"	"75"	234374
	"Florida"	"12"	"76 years"	"76"	250712
	"Florida"	"12"	"77 years"	"77"	180320
	"Florida"	"12"	"78 years"	"78"	172548
	"Florida"	"12"	"79 years"	"79"	167687
	"Florida"	"12"	"80 years"	"80"	169529
	"Florida"	"12"	"81 years"	"81"	142845
	"Florida"	"12"	"82 years"	"82"	126093
	"Florida"	"12"	"83 years"	"83"	113383
	"Florida"	"12"	"84 years"	"84"	102989
	"Florida"	"12"	"85+ years"	"85+"	582949
"Total"	"Florida"	"12"			22610726
	"Georgia"	"13"	"< 1 year"	"0"	125156
	"Georgia"	"13"	"1 year"	"1"	126779
	"Georgia"	"13"	"2 years"	"2"	124501
	"Georgia"	"13"	"3 years"	"3"	128393
	"Georgia"	"13"	"4 years"	"4"	131003
	"Georgia"	"13"	"5 years"	"5"	134728
	"Georgia"	"13"	"6 years"	"6"	136879
	"Georgia"	"13"	"7 years"	"7"	140364
	"Georgia"	"13"	"8 years"	"8"	142044
	"Georgia"	"13"	"9 years"	"9"	141553
	"Georgia"	"13"	"10 years"	"10"	141295
	"Georgia"	"13"	"11 years"	"11"	143091
	"Georgia"	"13"	"12 years"	"12"	145217
	"Georgia"	"13"	"13 years"	"13"	148562
	"Georgia"	"13"	"14 years"	"14"	153164
	"Georgia"	"13"	"15 years"	"15"	159647
	"Georgia"	"13"	"16 years"	"16"	159727
	"Georgia"	"13"	"17 years"	"17"	156578
	"Georgia"	"13"	"18 years"	"18"	149842
	"Georgia"	"13"	"19 years"	"19"	148074
	"Georgia"	"13"	"20 years"	"20"	147149
	"Georgia"	"13"	"21 years"	"21"	147555
	"Georgia"	"13"	"22 years"	"22"	151360
	"Georgia"	"13"	"23 years"	"23"	152618
	"Georgia"	"13"	"24 years"	"24"	148686
	"Georgia"	"13"	"25 years"	"25"	147671
	"Georgia"	"13"	"26 years"	"26"	146953
	"Georgia"	"13"	"27 years"	"27"	145964
	"Georgia"	"13"	"28 years"	"28"	147932
	"Georgia"	"13"	"29 years"	"29"	151121
	"Georgia"	"13"	"30 years"	"30"	154189
	"Georgia"	"13"	"31 years"	"31"	157224
	"Georgia"	"13"	"32 years"	"32"	158982
	"Georgia"	"13"	"33 years"	"33"	159636
	"Georgia"	"13"	"34 years"	"34"	154947
	"Georgia"	"13"	"35 years"	"35"	150741
	"Georgia"	"13"	"36 years"	"36"	148798
	"Georgia"	"13"	"37 years"	"37"	147837
	"Georgia"	"13"	"38 years"	"38"	148259
	"Georgia"	"13"	"39 years"	"39"	145090
	"Georgia"	"13"	"40 years"	"40"	147663
	"Georgia"	"13"	"41 years"	"41"	148057
	"Georgia"	"13"	"42 years"	"42"	147526
	"Georgia"	"13"	"43 years"	"43"	148266
	"Georgia"	"13"	"44 years"	"44"	142791
	"Georgia"	"13"	"45 years"	"45"	139056
	"Georgia"	"13"	"46 years"	"46"	138024
	"Georgia"	"13"	"47 years"	"47"	133168
	"Georgia"	"13"	"48 years"	"48"	136476
	"Georgia"	"13"	"49 years"	"49"	134870
	"Georgia"	"13"	"50 years"	"50"	138303
	"Georgia"	"13"	"51 years"	"51"	145007
	"Georgia"	"13"	"52 years"	"52"	152259
	"Georgia"	"13"	"53 years"	"53"	147304
	"Georgia"	"13"	"54 years"	"54"	139445
	"Georgia"	"13"	"55 years"	"55"	135101
	"Georgia"	"13"	"56 years"	"56"	134856
	"Georgia"	"13"	"57 years"	"57"	136032
	"Georgia"	"13"	"58 years"	"58"	139828
	"Georgia"	"13"	"59 years"	"59"	140063
	"Georgia"	"13"	"60 years"	"60"	137549
	"Georgia"	"13"	"61 years"	"61"	135649
	"Georgia"	"13"	"62 years"	"62"	132770
	"Georgia"	"13"	"63 years"	"63"	128942
	"Georgia"	"13"	"64 years"	"64"	124696
	"Georgia"	"13"	"65 years"	"65"	121623
	"Georgia"	"13"	"66 years"	"66"	119407
	"Georgia"	"13"	"67 years"	"67"	113222
	"Georgia"	"13"	"68 years"	"68"	109583
	"Georgia"	"13"	"69 years"	"69"	104302
	"Georgia"	"13"	"70 years"	"70"	98825
	"Georgia"	"13"	"71 years"	"71"	94838
	"Georgia"	"13"	"72 years"	"72"	89894
	"Georgia"	"13"	"73 years"	"73"	85763
	"Georgia"	"13"	"74 years"	"74"	83387
	"Georgia"	"13"	"75 years"	"75"	81130
	"Georgia"	"13"	"76 years"	"76"	83890
	"Georgia"	"13"	"77 years"	"77"	58519
	"Georgia"	"13"	"78 years"	"78"	55466
	"Georgia"	"13"	"79 years"	"79"	52398
	"Georgia"	"13"	"80 years"	"80"	51343
	"Georgia"	"13"	"81 years"	"81"	42337
	"Georgia"	"13"	"82 years"	"82"	36899
	"Georgia"	"13"	"83 years"	"83"	32865
	"Georgia"	"13"	"84 years"	"84"	29123
	"Georgia"	"13"	"85+ years"	"85+"	151403
"Total"	"Georgia"	"13"			11029227
	"Hawaii"	"15"	"< 1 year"	"0"	15147
	"Hawaii"	"15"	"1 year"	"1"	15624
	"Hawaii"	"15"	"2 years"	"2"	15107
	"Hawaii"	"15"	"3 years"	"3"	15670
	"Hawaii"	"15"	"4 years"	"4"	16102
	"Hawaii"	"15"	"5 years"	"5"	16228
	"Hawaii"	"15"	"6 years"	"6"	16693
	"Hawaii"	"15"	"7 years"	"7"	17041
	"Hawaii"	"15"	"8 years"	"8"	17115
	"Hawaii"	"15"	"9 years"	"9"	17198
	"Hawaii"	"15"	"10 years"	"10"	17197
	"Hawaii"	"15"	"11 years"	"11"	17041
	"Hawaii"	"15"	"12 years"	"12"	16914
	"Hawaii"	"15"	"13 years"	"13"	16441
	"Hawaii"	"15"	"14 years"	"14"	16027
	"Hawaii"	"15"	"15 years"	"15"	16486
	"Hawaii"	"15"	"16 years"	"16"	15942
	"Hawaii"	"15"	"17 years"	"17"	15640
	"Hawaii"	"15"	"18 years"	"18"	14863
	"Hawaii"	"15"	"19 years"	"19"	14997
	"Hawaii"	"15"	"20 years"	"20"	16347
	"Hawaii"	"15"	"21 years"	"21"	16653
	"Hawaii"	"15"	"22 years"	"22"	17578
	"Hawaii"	"15"	"23 years"	"23"	17392
	"Hawaii"	"15"	"24 years"	"24"	17582
	"Hawaii"	"15"	"25 years"	"25"	17322
	"Hawaii"	"15"	"26 years"	"26"	17572
	"Hawaii"	"15"	"27 years"	"27"	17522
	"Hawaii"	"15"	"28 years"	"28"	17789
	"Hawaii"	"15"	"29 years"	"29"	18415
	"Hawaii"	"15"	"30 years"	"30"	18622
	"Hawaii"	"15"	"31 years"	"31"	19268
	"Hawaii"	"15"	"32 years"	"32"	20114
	"Hawaii"	"15"	"33 years"	"33"	19892
	"Hawaii"	"15"	"34 years"	"34"	19359
	"Hawaii"	"15"	"35 years"	"35"	19515
	"Hawaii"	"15"	"36 years"	"36"	19584
	"Hawaii"	"15"	"37 years"	"37"	19814
	"Hawaii"	"15"	"38 years"	"38"	19505
	"Hawaii"	"15"	"39 years"	"39"	19444
	"Hawaii"	"15"	"40 years"	"40"	19683
	"Hawaii"	"15"	"41 years"	"41"	19532
	"Hawaii"	"15"	"42 years"	"42"	18831
	"Hawaii"	"15"	"43 years"	"43"	18854
	"Hawaii"	"15"	"44 years"	"44"	17867
	"Hawaii"	"15"	"45 years"	"45"	17315
	"Hawaii"	"15"	"46 years"	"46"	16978
	"Hawaii"	"15"	"47 years"	"47"	16532
	"Hawaii"	"15"	"48 years"	"48"	16379
	"Hawaii"	"15"	"49 years"	"49"	16180
	"Hawaii"	"15"	"50 years"	"50"	16299
	"Hawaii"	"15"	"51 years"	"51"	16703
	"Hawaii"	"15"	"52 years"	"52"	17588
	"Hawaii"	"15"	"53 years"	"53"	17915
	"Hawaii"	"15"	"54 years"	"54"	17097
	"Hawaii"	"15"	"55 years"	"55"	16772
	"Hawaii"	"15"	"56 years"	"56"	16498
	"Hawaii"	"15"	"57 years"	"57"	16979
	"Hawaii"	"15"	"58 years"	"58"	17608
	"Hawaii"	"15"	"59 years"	"59"	17824
	"Hawaii"	"15"	"60 years"	"60"	18214
	"Hawaii"	"15"	"61 years"	"61"	18083
	"Hawaii"	"15"	"62 years"	"62"	18004
	"Hawaii"	"15"	"63 years"	"63"	18338
	"Hawaii"	"15"	"64 years"	"64"	17797
	"Hawaii"	"15"	"65 years"	"65"	17862
	"Hawaii"	"15"	"66 years"	"66"	17762
	"Hawaii"	"15"	"67 years"	"67"	17438
	"Hawaii"	"15"	"68 years"	"68"	17294
	"Hawaii"	"15"	"69 years"	"69"	16937
	"Hawaii"	"15"	"70 years"	"70"	16894
	"Hawaii"	"15"	"71 years"	"71"	16214
	"Hawaii"	"15"	"72 years"	"72"	15363
	"Hawaii"	"15"	"73 years"	"73"	15388
	"Hawaii"	"15"	"74 years"	"74"	14725
	"Hawaii"	"15"	"75 years"	"75"	14291
	"Hawaii"	"15"	"76 years"	"76"	14182
	"Hawaii"	"15"	"77 years"	"77"	10993
	"Hawaii"	"15"	"78 years"	"78"	10461
	"Hawaii"	"15"	"79 years"	"79"	9960
	"Hawaii"	"15"	"80 years"	"80"	9021
	"Hawaii"	"15"	"81 years"	"81"	7781
	"Hawaii"	"15"	"82 years"	"82"	6906
	"Hawaii"	"15"	"83 years"	"83"	6278
	"Hawaii"	"15"	"84 years"	"84"	5554
	"Hawaii"	"15"	"85+ years"	"85+"	41202
"Total"	"Hawaii"	"15"			1435138
	"Idaho"	"16"	"< 1 year"	"0"	22331
	"Idaho"	"16"	"1 year"	"1"	22401
	"Idaho"	"16"	"2 years"	"2"	22331
	"Idaho"	"16"	"3 years"	"3"	23038
	"Idaho"	"16"	"4 years"	"4"	23282
	"Idaho"	"16"	"5 years"	"5"	24111
	"Idaho"	"16"	"6 years"	"6"	25246
	"Idaho"	"16"	"7 years"	"7"	26356
	"Idaho"	"16"	"8 years"	"8"	26752
	"Idaho"	"16"	"9 years"	"9"	26442
	"Idaho"	"16"	"10 years"	"10"	26501
	"Idaho"	"16"	"11 years"	"11"	26494
	"Idaho"	"16"	"12 years"	"12"	26965
	"Idaho"	"16"	"13 years"	"13"	27940
	"Idaho"	"16"	"14 years"	"14"	28758
	"Idaho"	"16"	"15 years"	"15"	29724
	"Idaho"	"16"	"16 years"	"16"	29625
	"Idaho"	"16"	"17 years"	"17"	29045
	"Idaho"	"16"	"18 years"	"18"	32404
	"Idaho"	"16"	"19 years"	"19"	30180
	"Idaho"	"16"	"20 years"	"20"	25157
	"Idaho"	"16"	"21 years"	"21"	25387
	"Idaho"	"16"	"22 years"	"22"	26926
	"Idaho"	"16"	"23 years"	"23"	27162
	"Idaho"	"16"	"24 years"	"24"	26457
	"Idaho"	"16"	"25 years"	"25"	25540
	"Idaho"	"16"	"26 years"	"26"	25214
	"Idaho"	"16"	"27 years"	"27"	24690
	"Idaho"	"16"	"28 years"	"28"	24847
	"Idaho"	"16"	"29 years"	"29"	25182
	"Idaho"	"16"	"30 years"	"30"	25229
	"Idaho"	"16"	"31 years"	"31"	25885
	"Idaho"	"16"	"32 years"	"32"	26175
	"Idaho"	"16"	"33 years"	"33"	26256
	"Idaho"	"16"	"34 years"	"34"	25513
	"Idaho"	"16"	"35 years"	"35"	25338
	"Idaho"	"16"	"36 years"	"36"	25415
	"Idaho"	"16"	"37 years"	"37"	25714
	"Idaho"	"16"	"38 years"	"38"	25782
	"Idaho"	"16"	"39 years"	"39"	25608
	"Idaho"	"16"	"40 years"	"40"	26026
	"Idaho"	"16"	"41 years"	"41"	26231
	"Idaho"	"16"	"42 years"	"42"	26088
	"Idaho"	"16"	"43 years"	"43"	26014
	"Idaho"	"16"	"44 years"	"44"	25152
	"Idaho"	"16"	"45 years"	"45"	24299
	"Idaho"	"16"	"46 years"	"46"	23846
	"Idaho"	"16"	"47 years"	"47"	22491
	"Idaho"	"16"	"48 years"	"48"	22476
	"Idaho"	"16"	"49 years"	"49"	21472
	"Idaho"	"16"	"50 years"	"50"	21145
	"Idaho"	"16"	"51 years"	"51"	21876
	"Idaho"	"16"	"52 years"	"52"	22964
	"Idaho"	"16"	"53 years"	"53"	22511
	"Idaho"	"16"	"54 years"	"54"	21698
	"Idaho"	"16"	"55 years"	"55"	21149
	"Idaho"	"16"	"56 years"	"56"	21039
	"Idaho"	"16"	"57 years"	"57"	21047
	"Idaho"	"16"	"58 years"	"58"	21814
	"Idaho"	"16"	"59 years"	"59"	22616
	"Idaho"	"16"	"60 years"	"60"	23216
	"Idaho"	"16"	"61 years"	"61"	23904
	"Idaho"	"16"	"62 years"	"62"	24219
	"Idaho"	"16"	"63 years"	"63"	23596
	"Idaho"	"16"	"64 years"	"64"	23304
	"Idaho"	"16"	"65 years"	"65"	23357
	"Idaho"	"16"	"66 years"	"66"	23527
