Session Title,Percentage with Hemoglobin A1C 7.0% or more and Percentage with BMI 30.0  or more and 49.8  or less by Age in Years (Current) Range and State of Residence (U.S.),,
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.5%
North Dakota,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.122%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.661%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.469%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),7.6%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.737%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),19.3%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.3%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),59.2%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),14.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),55.9%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.7%
Delaware,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.146%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.554%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),10.7%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),24.4%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),47.7%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),10.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),58.2%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),16%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),50.1%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),39.3%
Maryland,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.128%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.5%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.572%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.6%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.823%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),18.4%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),40.5%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),12.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),45.7%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.1%
Florida,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.124%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.55%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.4%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.873%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),18.7%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),40.1%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),6.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),49.1%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),9.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),40.6%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.8%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),4.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),36.3%
Rhode Island,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.5%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.133%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),12%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.491%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),20.7%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),36.4%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),48.9%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),11.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.1%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),5.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),36.7%
Connecticut,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.158%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.3%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.553%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.4%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.824%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),18.2%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),6.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),11.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),48%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),60.7%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),5.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.9%
Wisconsin,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.122%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.86%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.485%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.1%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.869%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),19.9%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.5%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),9.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),57.1%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),15.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),55.1%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.1%
New York,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.13%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.415%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.6%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.661%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),18.5%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),37.4%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),49.4%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),12.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.9%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.6%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.8%
Arkansas,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.154%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.3%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.783%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),10.3%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),24.2%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),49.9%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),9.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),59.4%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),12.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),50.1%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.7%
Maine,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.186%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.613%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.8%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.861%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),20.2%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.9%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),50.3%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),13.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),46.5%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),39.6%
Texas,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.093%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.446%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.6%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.777%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),20.4%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.4%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),53.5%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),11.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),47.4%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.3%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),5.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),37.7%
Georgia,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.119%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.989%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.581%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),7.7%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),18.4%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.9%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),53.1%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),12.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.9%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),5.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),36.4%
Idaho,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.174%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.91%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.598%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),6.8%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.863%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),17.4%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),40.4%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.4%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),13.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),49.2%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.1%
Virgin Islands,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),30.5%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),49%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),12%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),33.2%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),9.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.7%
Minnesota,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.099%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.686%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.419%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),7%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.673%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),18%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),39.7%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),53.6%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),14.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.7%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),39.9%
New Hampshire,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.206%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.728%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.795%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),7.5%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),17.9%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),37.9%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),50.8%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),11.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.7%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.3%
Wyoming,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.156%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.629%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.67%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),5.9%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.879%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),15.5%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),39.2%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.4%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),11.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),45.6%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),37.3%
Massachusetts,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.145%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.946%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.564%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.4%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.813%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),17.7%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),32.9%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),46%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),13.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),5.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),34.8%
New Mexico,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.3%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),7.9%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.266%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),18.1%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),47.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),8.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),36.7%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),5.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.5%
Northern Mariana Islands,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),46.9%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),25.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),40%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),16.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.6%
Arizona,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.087%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.63%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.244%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),4.8%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),12.5%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),34%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),6.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.5%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),8.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),36.8%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),4.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),33.3%
South Dakota,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.13%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.661%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.496%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),6.3%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.886%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),16.8%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.5%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),50.8%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),13.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),47.9%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),5.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),35.9%
Montana,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.091%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.748%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.368%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),4.8%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.512%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),13.5%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),29.7%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),4.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.1%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.4%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),3.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),30.7%
Vermont,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.195%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.721%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.818%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),6.1%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),15.6%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),32.3%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),4.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.4%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),4.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),34.8%
Washington,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.061%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.639%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.298%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),6.9%
